voc_id,building_id,voc_date,title,request_contents,building_floor_name,zone_name,reply,reply_write_date,user_group_name,reply_writer,title_clean,all_text,주제 대분류,주제 중분류,작업유형 대분류,작업유형 중분류,주제_score,작업유형_score,run_id,tagged_at
7603,95,2025-12-27 15:30:00,지하주차장 이중격벽 배수상태 및 벽면 누수 점검,<p>지하주차장 이중격벽 배수상태 및 벽면 누수 점검<br></p>,B3F,주차장,<p>지하주차장 이중격벽 배수상태 및 벽면 누수 점검 - 양호<br></p>,2025-12-27 16:25:35.441746,시설,김현범,지하주차장 이중격벽 배수상태 및 벽면 누수 점검,지하주차장 이중격벽 배수상태 및 벽면 누수 점검 지하주차장 이중격벽 배수상태 및 벽면 누수 점검 지하주차장 이중격벽 배수상태 및 벽면 누수 점검 - 양호,서비스,주차,점검,상태점검,7.5,7.199999999999999,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7608,95,2025-12-28 09:30:00,"2번 비상계단 센서등, 층간표시등 점등상태 점검","<p>2번 비상계단 센서등, 층간표시등 점등상태 점검<br></p>",1F,화장실(남),"<p>2번 비상계단 센서등, 층간표시등 점등상태 점검 - 양호<br></p>",2025-12-28 16:17:44.505618,시설,오대석,"2번 비상계단 센서등, 층간표시등 점등상태 점검","2번 비상계단 센서등, 층간표시등 점등상태 점검 2번 비상계단 센서등, 층간표시등 점등상태 점검 2번 비상계단 센서등, 층간표시등 점등상태 점검 - 양호",시설,정보통신/IT,점검,상태점검,3.5999999999999996,7.199999999999999,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7605,95,2025-12-28 09:31:00,남여 화장실 위생상태 점검,<p>1~2층 남여 화장실 위생상태 점검&nbsp;</p>,1F,화장실(남),<p>1~2층 남여 화장실 위생상태 점검 - 양호<br></p>,2025-12-28 16:05:22.891628,시설,김현범,남여 화장실 위생상태 점검,1 2층 남여 화장실 위생상태 점검 남여 화장실 위생상태 점검 1 2층 남여 화장실 위생상태 점검 - 양호,환경,청결/미화,점검,상태점검,3.9000000000000004,7.199999999999999,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7609,95,2025-12-28 11:00:00,"6F, 5F 배연창 전원반 전원투입상태 및 배터리 충전상태 점검","<p>6F, 5F 배연창 전원반 전원투입상태 및 배터리 충전상태 점검<br></p>",6F,화장실(남),"<p>6F, 5F 배연창 전원반 전원투입상태 및 배터리 충전상태 점검 - 양호<br></p>",2025-12-28 16:19:01.194768,시설,오대석,"6F, 5F 배연창 전원반 전원투입상태 및 배터리 충전상태 점검","6F, 5F 배연창 전원반 전원투입상태 및 배터리 충전상태 점검 6F, 5F 배연창 전원반 전원투입상태 및 배터리 충전상태 점검 6F, 5F 배연창 전원반 전원투입상태 및 배터리 충전상태 점검 - 양호",시설,전기/조명,점검,상태점검,7.199999999999999,7.199999999999999,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7610,95,2025-12-28 13:30:00,방재실 DVR 1~7번 작동상태 점검,<p>방재실 DVR 1~7번 작동상태 점검<br></p>,B1F,방재실,<p>방재실 DVR 1~7번 작동상태 점검 - 양호<br></p>,2025-12-28 16:22:39.201393,시설,오대석,방재실 DVR 1 7번 작동상태 점검,방재실 DVR 1 7번 작동상태 점검 방재실 DVR 1 7번 작동상태 점검 방재실 DVR 1 7번 작동상태 점검 - 양호,보안,외부인/출입통제/CCTV,점검,상태점검,3.9000000000000004,7.199999999999999,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7607,95,2025-12-28 15:10:00,주차장 유인휀 가동상태 점검,<p>주차장 유인휀 가동상태 점검&nbsp;<br></p>,B2F,주차장,<p>주차장 유인휀 가동상태 점검 - 양호<br></p>,2025-12-28 16:09:04.471614,시설,김현범,주차장 유인휀 가동상태 점검,주차장 유인휀 가동상태 점검 주차장 유인휀 가동상태 점검 주차장 유인휀 가동상태 점검 - 양호,서비스,주차,점검,상태점검,7.5,7.199999999999999,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7606,95,2025-12-28 16:05:00,"저수조 탱크 수위레벨 점검 및 전극봉 ,볼탑 상태 점검","<p>저수조 탱크 수위레벨 점검 및 전극봉 ,볼탑 상태 점검<br></p>",B3F,생활 수조실,"<p>저수조 탱크 수위레벨 점검 및 전극봉 ,볼탑 상태 점검 - 양호<br></p>",2025-12-28 16:07:04.135701,시설,김현범,"저수조 탱크 수위레벨 점검 및 전극봉 ,볼탑 상태 점검","저수조 탱크 수위레벨 점검 및 전극봉 ,볼탑 상태 점검 저수조 탱크 수위레벨 점검 및 전극봉 ,볼탑 상태 점검 저수조 탱크 수위레벨 점검 및 전극봉 ,볼탑 상태 점검 - 양호",시설,급배수/위생,점검,상태점검,3.9000000000000004,7.199999999999999,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7627,95,2025-12-29 16:45:00,"E/V 5,6,7호기 CCTV 고장","<p>E/V 5,6,7호기 CCTV 고장<br></p>",B1F,방재실,<p>광변환기 고장 - 현진시스템 내사 후 점검</p>,2025-12-29 16:46:22.770744,시설,정영진,"E/V 5,6,7호기 CCTV 고장","E/V 5,6,7호기 CCTV 고장 E/V 5,6,7호기 CCTV 고장 광변환기 고장 - 현진시스템 내사 후 점검",시설,출입/도어/승강기,점검,상태점검,13.5,7.199999999999999,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7628,95,2025-12-29 16:46:00,E/V 1호기 CCTV 고장,<p>E/V 1호기 CCTV 고장<br></p>,B1F,방재실,<p>선로이상 - 현진시스템 내사</p>,2025-12-29 16:47:07.774288,시설,정영진,E/V 1호기 CCTV 고장,E/V 1호기 CCTV 고장 E/V 1호기 CCTV 고장 선로이상 - 현진시스템 내사,시설,출입/도어/승강기,기타,기타,13.5,0.0,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7629,95,2025-12-29 16:50:00,더워요 🥵,3층 청담어학원 내부 공조 온도가 높아서 공조기 가동 정지 요청,3F,상업시설 A,3층 청담어학원 내부 온도 점검 및 공조기 가동 정지,2025-12-29 16:50:45.568585,시설,안재성,더워요,3층 청담어학원 내부 공조 온도가 높아서 공조기 가동 정지 요청 더워요 3층 청담어학원 내부 온도 점검 및 공조기 가동 정지,시설,냉난방/공조,작업,설정/제어,5.550000000000001,3.75,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
